日期,證券代號,證券名稱,外陸資買賣超股數(不含外資自營商),投信買賣超股數,自營商買賣超股數,三大法人買賣超股數
20260102,00676R,富邦臺灣加權反1 ,0,0,"-4,643,547","-4,643,547"
20260102,00662,富邦NASDAQ      ,"123,325",0,"-4,844,128","-4,720,803"
20260102,00953B,群益優選非投等債,"2,463,000",0,"-7,361,498","-4,898,498"
20260102,00738U,期元大道瓊白銀  ,"-1,255",0,"-5,362,443","-5,363,698"
20260102,00715L,期街口布蘭特正2 ,"-3,463,000",0,"-2,699,879","-6,162,879"
20260102,00646,元大S&P500      ,"-189,141","30,000","-6,647,169","-6,806,310"
20260102,0050,元大台灣50      ,"-11,428,844",0,"1,181,926","-10,246,918"
20260102,0052,富邦科技        ,"-6,520,640","-1,001,000","-6,670,142","-14,191,782"
20260102,00987A,主動台新優勢成長,"10,000",0,"-14,821,351","-14,811,351"
20260102,00927,群益半導體收益  ,"-4,217,000",0,"-12,488,536","-16,705,536"
20260102,00990A,主動元大AI新經濟,"-14,946,300",0,"-8,255,775","-23,202,075"
20260102,00991A,主動復華未來50  ,"-5,403,000",0,"-22,299,844","-27,702,844"
20260102,00632R,元大台灣50反1   ,"-6,444,000",0,"-24,199,251","-30,643,251"
20260102,00992A,主動群益科技創新,"80,000",0,"-37,167,031","-37,087,031"
20260102,00881,國泰台灣科技龍頭,"-27,345,000",0,"-22,794,230","-50,139,230"
20260102,00981A,主動統一台股增長,"-15,832,875","1,000,000","-63,292,942","-78,125,817"
20260105,00919,群益台灣精選高息,"70,172,827",0,"25,296,339","95,469,166"
20260105,00878,國泰永續高股息  ,"54,602,994",0,"38,004,576","92,607,570"
20260105,00988A,主動統一全球創新,"18,263,000",0,"22,036,000","40,299,000"
20260105,00900,富邦特選高股息30,"17,977,000","200,000","17,916,529","36,093,529"
20260105,00929,復華台灣科技優息,"12,056,938",0,"19,524,997","31,581,935"
20260105,00940,元大台灣價值高息,"14,197,550",0,"16,333,765","30,531,315"
20260105,00991A,主動復華未來50  ,"22,881,094",0,"6,891,490","29,772,584"
20260105,00918,大華優利高填息30,"10,601,456",0,"16,072,581","26,674,037"
20260105,00712,復華富時不動產  ,"9,005,000",0,"15,441,206","24,446,206"
20260105,00982A,主動群益台灣強棒,"8,047,600",0,"12,485,557","20,533,157"
20260105,00939,統一台灣高息動能,"7,843,234",0,"11,348,074","19,191,308"
20260105,00713,元大台灣高息低波,"8,632,370",0,"9,267,929","17,900,299"
20260105,00680L,元大美債20正2   ,"420,000",0,"17,067,222","17,487,222"
20260105,00922,國泰台灣領袖50  ,"11,110,961",0,"5,741,466","16,852,427"
20260105,00981A,主動統一台股增長,"9,802,017",0,"5,247,435","15,049,452"
20260105,00688L,國泰20年美債正2 ,"2,212,000",0,"11,681,062","13,893,062"
20260105,006208,富邦台50        ,"3,856,700",0,"8,092,413","11,949,113"
20260105,00896,中信綠能及電動車,"4,507,000",0,"6,684,123","11,191,123"
20260105,00753L,中信中國50正2   ,"233,000",0,"9,465,497","9,698,497"
20260105,00915,凱基優選高股息30,"2,123,100",0,"5,592,450","7,715,550"
20260105,00671R,富邦NASDAQ反1   ,0,0,"7,477,472","7,477,472"
20260105,00990A,主動元大AI新經濟,"123,500",0,"6,134,658","6,258,158"
20260105,00941,中信上游半導體  ,"4,786,150",0,"746,186","5,532,336"
20260105,00663L,國泰臺灣加權正2 ,"99,000",0,"5,056,829","5,155,829"
20260105,00992A,主動群益科技創新,"14,082,000",0,"-8,955,491","5,126,509"
20260105,00961,FT臺灣永續高息  ,"2,611,000",0,"2,323,698","4,934,698"
20260105,009802,富邦旗艦50      ,"2,301,000",0,"2,153,509","4,454,509"
20260105,009805,新光美國電力基建,"72,000",0,"4,203,919","4,275,919"
20260105,00965,元大航太防衛科技,"3,465,900","-550,000","1,220,361","4,136,261"
20260105,00936,台新永續高息中小,"1,366,175",0,"2,698,139","4,064,314"
20260105,00885,富邦越南        ,"2,832,000",0,"873,967","3,705,967"
20260105,00934,中信成長高股息  ,"1,401,135",0,"1,920,588","3,321,723"
20260105,00701,國泰股利精選30  ,"1,135,000",0,"2,141,564","3,276,564"
20260105,00909,國泰數位支付服務,"3,372,193",0,"-259,457","3,112,736"
20260105,00980A,主動野村臺灣優選,"-177,256",0,"2,868,501","2,691,245"
20260105,00901,永豐智能車供應鏈,"1,183,000",0,"1,428,209","2,611,209"
20260105,00923,群益台ESG低碳50 ,"326,500",0,"2,234,677","2,561,177"
20260105,00891,中信關鍵半導體  ,"-2,370,950",0,"4,722,131","2,351,181"
20260105,00675L,富邦臺灣加權正2 ,"79,000",0,"2,237,838","2,316,838"
20260105,00673R,期元大S&P原油反1,"2,000",0,"2,266,798","2,268,798"
20260105,00989A,主動摩根美國科技,"1,459,000",0,"713,000","2,172,000"
20260105,00648R,元大S&P500反1   ,0,0,"2,086,300","2,086,300"
20260105,00930,永豐ESG低碳高息 ,"194,000",0,"1,862,189","2,056,189"
20260105,00951,台新日本半導體  ,"1,045,000",0,"941,830","1,986,830"
20260105,00905,FT臺灣Smart     ,"80,000",0,"1,754,494","1,834,494"
20260105,00674R,期元大S&P黃金反1,"519,000",0,"1,295,875","1,814,875"
20260105,00954,中信日本半導體  ,"84,000",0,"1,719,685","1,803,685"
20260105,00984A,主動安聯台灣高息,"3,000",0,"1,800,053","1,803,053"
20260105,00631L,元大台灣50正2   ,"465,886","465,000","800,715","1,731,601"
20260105,00641R,富邦日本反1     ,0,0,"1,656,089","1,656,089"
20260105,00692,富邦公司治理    ,"242,920",0,"1,351,423","1,594,343"
20260105,00935,野村臺灣新科技50,"-463,065",0,"2,024,303","1,561,238"
20260105,00738U,期元大道瓊白銀  ,"1,191,910",0,"62,190","1,254,100"
20260105,00733,富邦臺灣中小    ,"919,000",0,"317,743","1,236,743"
20260105,00952,凱基台灣AI50    ,"1,083,000",0,"143,777","1,226,777"
20260105,00902,中信電池及儲能  ,"434,747",0,"770,082","1,204,829"
20260105,00910,第一金太空衛星  ,"1,013,700",0,"159,213","1,172,913"
20260105,00981T,平衡凱基雙核收息,"38,000",0,"1,134,338","1,172,338"
20260105,00944,野村趨勢動能高息,"74,000",0,"1,078,393","1,152,393"
20260105,00850,元大臺灣ESG永續 ,"324,400",0,"812,825","1,137,225"
20260105,00669R,國泰美國道瓊反1 ,0,0,"1,085,248","1,085,248"
20260105,009803,玉山市值動能50  ,"-4,000",0,"891,972","887,972"
20260105,00762,元大全球AI      ,"144,050",0,"728,355","872,405"
20260105,00983A,主動中信ARK創新 ,"435,000",0,"408,948","843,948"
20260105,009804,聯邦台精彩50    ,"355,000",0,"484,597","839,597"
20260105,00949,復華日本龍頭    ,"248,000",0,"573,035","821,035"
20260105,00892,富邦台灣半導體  ,"203,000",0,"553,664","756,664"
20260105,00932,兆豐永續高息等權,"13,000",0,"733,062","746,062"
20260105,009809,富邦淨零ESG50   ,"-3,000",0,"718,697","715,697"
20260105,00895,富邦未來車      ,"449,964",0,"239,080","689,044"
20260105,00982D,主動富邦動態入息,"-20,000",0,"664,000","644,000"
20260105,00907,永豐優息存股    ,0,0,"622,891","622,891"
20260105,00899,FT潔淨能源      ,"25,000",0,"590,228","615,228"
